CIty_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Barrow,71.2906,-156.7887,44.62,93,90,20.71,US,Fog
1,Dikson,73.5069,80.5464,48.0,97,100,10.0,RU,Clouds
2,Kikuyu,-1.2458,36.6633,57.69,65,90,8.34,KE,Clouds
3,Lavrentiya,65.5833,-171.0,50.43,83,100,9.26,RU,Clouds
4,Ivanava,52.1451,25.5365,63.79,93,37,1.23,BY,Clouds
5,Kurchum,48.5722,83.6542,58.66,72,100,8.48,KZ,Clouds
6,Iqaluit,63.7506,-68.5145,41.2,94,100,16.64,CA,Rain
7,Kirakira,-10.4544,161.9205,78.03,89,97,11.18,SB,Rain
8,New Norfolk,-42.7826,147.0587,53.1,61,71,3.0,AU,Clouds
9,Saskylakh,71.9167,114.0833,45.05,69,89,5.59,RU,Clouds
10,Cape Town,-33.9258,18.4232,55.11,71,0,1.99,ZA,Clear
11,Bluff,-46.6,168.3333,42.8,82,99,21.39,NZ,Rain
12,Albany,42.6001,-73.9662,82.09,50,24,10.83,US,Clouds
13,Abu Samrah,35.3029,37.1841,78.91,56,0,11.36,SY,Clear
14,Nikolskoye,59.7035,30.7861,64.29,97,94,7.85,RU,Clouds
15,Ushuaia,-54.8,-68.3,36.12,73,100,0.38,AR,Clouds
16,Tuktoyaktuk,69.4541,-133.0374,51.35,67,31,12.24,CA,Clouds
17,Piracuruca,-3.9281,-41.7092,97.99,23,70,2.33,BR,Clouds
18,Tilichiki,60.4667,166.1,54.23,77,48,1.54,RU,Clouds
19,Chokurdakh,70.6333,147.9167,41.31,79,100,12.39,RU,Clouds
20,Broome,42.2506,-75.833,80.02,59,9,1.01,US,Clear
21,Saint George,37.1041,-113.5841,103.53,27,84,4.0,US,Clouds
22,Codrington,-38.2667,141.9667,47.82,86,0,15.86,AU,Clear
23,Pangnirtung,66.1451,-65.7125,50.0,81,90,10.36,CA,Rain
24,Hobart,-42.8794,147.3294,54.05,55,40,1.99,AU,Clouds
25,Gera,50.8803,12.0819,74.26,69,0,5.97,DE,Clear
26,Cidreira,-30.1811,-50.2056,60.08,90,99,15.57,BR,Clouds
27,Bredasdorp,-34.5322,20.0403,51.28,81,0,2.3,ZA,Clear
28,Georgetown,5.4112,100.3354,78.89,91,20,3.44,MY,Clouds
29,Hasaki,35.7333,140.8333,68.4,95,100,3.22,JP,Rain
30,Ancud,-41.8697,-73.8203,52.43,71,100,3.96,CL,Clouds
31,Longyearbyen,78.2186,15.6401,42.64,70,40,6.91,SJ,Clouds
32,Hithadhoo,-0.6,73.0833,82.4,72,100,14.92,MV,Clouds
33,Akhmeta,42.0311,45.2075,73.92,99,100,4.12,GE,Clouds
34,Shingu,33.7333,135.9833,80.91,90,100,16.24,JP,Clouds
35,Nacala,-14.5428,40.6728,72.72,74,0,12.19,MZ,Clear
36,Naryan-Mar,67.6713,53.087,50.52,91,100,24.81,RU,Clouds
37,Manado,1.487,124.8455,74.17,94,20,2.3,ID,Clouds
38,Hermanus,-34.4187,19.2345,54.9,83,0,11.52,ZA,Clear
39,Camopi,3.1655,-52.3158,80.1,82,98,2.98,GF,Clouds
40,Rikitea,-23.1203,-134.9692,74.44,82,57,18.54,PF,Rain
41,Maldonado,-34.6667,-54.9167,57.22,91,100,5.37,UY,Clouds
42,Rawdon,46.0501,-73.7159,82.38,31,1,11.34,CA,Clear
43,San Jeronimo,-11.9472,-75.2829,63.45,36,96,6.73,PE,Clouds
44,Port Alfred,-33.5906,26.891,58.53,74,100,12.62,ZA,Rain
45,Mataura,-46.1927,168.8643,42.48,82,83,6.11,NZ,Clouds
46,Esperance,-33.8667,121.9,49.84,74,73,6.8,AU,Clouds
47,Dapaong,10.8639,0.205,74.05,90,100,4.63,TG,Clouds
48,Busselton,-33.65,115.3333,40.08,88,0,6.91,AU,Clear
49,Sungaipenuh,-2.0833,101.3833,63.41,97,96,2.59,ID,Clouds
50,Qaanaaq,77.484,-69.3632,40.24,98,100,4.09,GL,Clouds
51,Tiksi,71.6872,128.8694,43.79,76,100,7.07,RU,Clouds
52,Yellowknife,62.456,-114.3525,55.96,89,100,13.13,CA,Rain
53,Arraial Do Cabo,-22.9661,-42.0278,67.96,88,75,5.75,BR,Clouds
54,Jamestown,42.097,-79.2353,78.08,58,91,9.1,US,Clouds
55,Tambopata,-12.7333,-69.1833,91.24,29,9,1.34,PE,Clear
