City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Kirakira,SB,78.03,Rain,-10.4544,161.9205,SanBiz Lodge
20,Broome,US,80.02,Clear,42.2506,-75.833,Chenango Valley State Park
28,Georgetown,MY,78.89,Clouds,5.4112,100.3354,Cititel Penang
32,Hithadhoo,MV,82.4,Clouds,-0.6,73.0833,Scoop Guest House
34,Shingu,JP,80.91,Clouds,33.7333,135.9833,Shingu UI Hotel
42,Rawdon,CA,82.38,Clear,46.0501,-73.7159,Auberge Le Manchester
54,Jamestown,US,78.08,Clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
58,Kapaa,US,82.38,Clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Cascais,PT,77.05,Clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
63,Kavieng,PG,82.11,Rain,-2.5744,150.7967,Nusa Island Retreat
68,Butaritari,KI,81.23,Rain,3.0707,172.7902,Isles Sunset Lodge
69,Sao Filipe,CV,75.47,Clouds,14.8961,-24.4956,Hotel Xaguate
70,Ponta Do Sol,PT,78.71,Clouds,32.6667,-17.1,Hotel do Campo
72,Bonthe,SL,76.8,Rain,7.5264,-12.505,Bonthe Holiday Village
76,Monrovia,LR,76.77,Clouds,6.3005,-10.7969,Sunset Inn
77,Hilo,US,80.8,Clouds,19.7297,-155.09,Hilo Hawaiian Hotel
78,Salalah,OM,75.58,Clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
82,Katsuura,JP,78.82,Clouds,35.1333,140.3,Katsuura Hotel Mikazuki
101,Eyl,SO,78.51,Clouds,7.9803,49.8164,Amiin Hotel
104,Guerrero Negro,MX,82.83,Clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
105,Auki,SB,76.37,Clouds,-8.7676,160.7034,Auki Motel
108,Ipixuna,BR,78.28,Clouds,-1.7625,-48.8043,Casa da Oscarina
119,Torbay,CA,76.87,Clouds,47.6666,-52.7314,Gallows Cove
124,Mascota,MX,75.31,Clouds,20.5167,-104.7833,Meson De Santa Elena Hotel
125,Massaguet,TD,81.57,Clouds,12.4755,15.4365,Alwatane
129,Kahului,US,84.97,Clouds,20.8947,-156.47,Maui Seaside Hotel
131,Ormond Beach,US,84.22,Thunderstorm,29.2858,-81.0559,Makai Beach Lodge
134,Mindelo,CV,78.35,Clouds,16.8901,-24.9804,Hotel Gaudi
139,Yasothon,TH,75.51,Rain,15.75,104.1333,Ban Suan Varaphan
140,Bathsheba,BB,84.38,Clouds,13.2167,-59.5167,Atlantis Hotel
142,Terre Haute,US,82.67,Clear,39.4667,-87.4139,Drury Inn & Suites Terre Haute
147,Bengkulu,ID,75.42,Rain,-3.8004,102.2655,Grage Hotel Bengkulu
151,Faanui,PF,78.31,Clear,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
155,Lamar,US,75.18,Clouds,33.6668,-95.5836,Kings Inn Paris TX
158,Upata,VE,84.2,Clouds,8.0086,-62.3989,Posada Villa Nela
160,Guatire,VE,84.2,Clouds,10.4762,-66.5427,Parque Residencial Canaima I
165,Atuona,PF,78.57,Clouds,-9.8,-139.0333,Villa Enata
168,Vanimo,PG,76.95,Clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
170,Korla,CN,80.83,Clouds,41.7597,86.1469,Gulisitan Hotel
176,Naze,JP,78.28,Clouds,28.3667,129.4833,オーベルジュ・アガルイ
179,Sioux Lookout,CA,81.45,Clouds,50.1001,-91.917,Knobby's Fly-In Camps
184,Oriximina,BR,83.88,Rain,-1.7656,-55.8661,Pousada Tia Amélia
190,Vieux-Habitants,GP,81.97,Clouds,16.0589,-61.7659,Gîtes Dardanelle
195,Cabangahan,PH,79.65,Clouds,9.0781,122.9469,Centralle District Beach Resort
196,Namatanai,PG,78.39,Clouds,-3.6667,152.4333,Seagulls Inn Namatani
204,Bud,US,83.43,Clouds,39.447,-86.1758,Ted McQuinn Trust
209,Panalingaan,PH,78.03,Clouds,8.7842,117.4231,I Love Panalingaan View Deck
