City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2021-08-12 19:16:47,-33.9258,18.4232,51.89,83,20,4.0
1,Bluff,NZ,2021-08-12 19:16:47,-46.6,168.3333,42.8,83,7,12.82
2,Busselton,AU,2021-08-12 19:16:48,-33.65,115.3333,46.09,81,57,5.73
3,Sambava,MG,2021-08-12 19:16:48,-14.2667,50.1667,70.02,89,14,7.74
4,Ishinomaki,JP,2021-08-12 19:16:48,38.4167,141.3,68.85,90,100,13.94
5,Albany,US,2021-08-12 19:16:16,42.6001,-73.9662,93.27,40,44,8.95
6,Torbay,CA,2021-08-12 19:16:49,47.6666,-52.7314,64.89,75,75,5.75
7,Chokurdakh,RU,2021-08-12 19:16:49,70.6333,147.9167,55.24,90,83,9.04
8,Kodinsk,RU,2021-08-12 19:16:50,58.6881,99.1844,58.66,83,100,2.21
9,Avarua,CK,2021-08-12 19:16:50,-21.2078,-159.775,71.65,88,75,11.5
10,Hami,CN,2021-08-12 19:16:50,42.8,93.45,85.53,18,52,7.74
11,Bure,ET,2021-08-12 19:16:51,10.7,37.0667,56.8,95,86,3.56
12,Nikolskoye,RU,2021-08-12 19:16:51,59.7035,30.7861,64.02,96,100,9.62
13,Thompson,CA,2021-08-12 19:16:40,55.7435,-97.8558,53.76,58,75,19.57
14,Vaini,TO,2021-08-12 19:16:51,-21.2,-175.2,66.36,88,20,11.5
15,Mataura,NZ,2021-08-12 19:16:52,-46.1927,168.8643,42.48,98,21,2.66
16,Tighina,MD,2021-08-12 19:16:52,46.8306,29.4711,70.57,55,0,6.53
17,Georgetown,MY,2021-08-12 19:15:11,5.4112,100.3354,82.89,84,20,1.01
18,Kaitangata,NZ,2021-08-12 19:16:53,-46.2817,169.8464,40.12,94,12,6.78
19,Rikitea,PF,2021-08-12 19:12:31,-23.1203,-134.9692,74.26,83,47,15.28
20,Lompoc,US,2021-08-12 19:16:53,34.6391,-120.4579,94.01,64,1,13.8
21,Longyearbyen,SJ,2021-08-12 19:16:53,78.2186,15.6401,46.24,81,75,13.8
22,Muisne,EC,2021-08-12 19:16:54,0.6,-80.0333,76.66,77,100,11.54
23,Alberdi,AR,2021-08-12 19:16:54,-32.8899,-60.6906,62.91,40,0,1.99
24,Ndioum,SN,2021-08-12 19:16:55,16.5129,-14.6471,103.28,21,99,7.25
25,Broome,US,2021-08-12 19:16:55,42.2506,-75.833,93.09,67,40,3.0
26,Kirakira,SB,2021-08-12 19:16:55,-10.4544,161.9205,76.08,94,100,9.69
27,Provideniya,RU,2021-08-12 19:16:56,64.3833,-173.3,39.31,75,75,2.24
28,Yellowknife,CA,2021-08-12 19:16:15,62.456,-114.3525,63.12,63,75,8.05
29,Dongsheng,CN,2021-08-12 19:16:56,39.8161,109.9776,69.73,32,29,5.08
30,Sainte-Marie,RE,2021-08-12 19:16:56,-20.8968,55.5496,69.96,88,75,6.91
31,Kodiak,US,2021-08-12 19:16:57,57.79,-152.4072,56.71,77,1,4.61
32,Ushuaia,AR,2021-08-12 19:13:02,-54.8,-68.3,49.62,76,75,32.21
33,Akdepe,TM,2021-08-12 19:16:57,42.0551,59.3788,82.49,34,0,15.21
34,Fare,PF,2021-08-12 19:16:57,-16.7,-151.0167,78.62,68,0,14.41
35,Balabac,PH,2021-08-12 19:16:58,7.9868,117.0645,81.01,82,100,6.85
36,Praia Da Vitoria,PT,2021-08-12 19:13:34,38.7333,-27.0667,76.75,85,9,22.64
37,Luderitz,NA,2021-08-12 19:16:58,-26.6481,15.1594,56.7,72,0,28.57
38,Khatanga,RU,2021-08-12 19:16:58,71.9667,102.5,42.78,94,100,5.79
39,Comodoro Rivadavia,AR,2021-08-12 19:16:59,-45.8667,-67.5,69.66,18,0,12.66
40,Celestun,MX,2021-08-12 19:16:59,20.8667,-90.4,87.4,63,26,12.68
41,Sidi Bin Nur,TN,2021-08-12 19:16:59,35.5333,10.9167,85.91,54,0,6.69
42,Atbasar,KZ,2021-08-12 19:17:00,51.8,68.3333,52.72,78,0,11.72
43,Goderich,CA,2021-08-12 19:17:00,43.7501,-81.7165,83.03,78,79,10.36
44,Verkhnevilyuysk,RU,2021-08-12 19:17:00,63.4453,120.3167,57.79,73,5,2.15
45,Port Alfred,ZA,2021-08-12 19:17:01,-33.5906,26.891,54.99,72,100,10.42
46,Udala,ES,2021-08-12 19:17:01,43.0778,-2.5125,65.89,91,99,4.29
47,Genhe,CN,2021-08-12 19:17:01,50.7833,121.5167,51.12,95,53,1.86
48,Port Hawkesbury,CA,2021-08-12 19:17:02,45.6169,-61.3485,83.91,82,20,8.05
49,Atuona,PF,2021-08-12 19:17:02,-9.8,-139.0333,77.5,70,27,18.37
50,Hambantota,LK,2021-08-12 19:17:02,6.1241,81.1185,79.66,78,100,16.11
51,San Pedro,PH,2021-08-12 19:17:03,14.35,121.0167,82.35,82,100,3.15
52,Severo-Kurilsk,RU,2021-08-12 19:17:03,50.6789,156.125,50.88,87,87,7.36
53,Sao Filipe,CV,2021-08-12 19:17:03,14.8961,-24.4956,77.29,74,32,16.53
54,Reconquista,AR,2021-08-12 19:17:04,-29.15,-59.65,61.03,30,100,9.4
55,Punta Arenas,CL,2021-08-12 19:14:12,-53.15,-70.9167,50.02,61,0,49.48
56,Batesville,US,2021-08-12 19:14:47,35.7698,-91.641,97.21,47,75,10.36
57,Barrow,US,2021-08-12 19:15:31,71.2906,-156.7887,35.62,80,90,10.94
58,Puerto Ayora,EC,2021-08-12 19:17:04,-0.7393,-90.3518,78.76,80,49,7.0
59,La Ronge,CA,2021-08-12 19:17:04,55.1001,-105.2842,61.02,44,40,16.11
60,Katherine,AU,2021-08-12 19:17:05,-14.4667,132.2667,68.32,52,7,8.05
61,Narsaq,GL,2021-08-12 19:17:05,60.9167,-46.05,64.62,60,40,4.7
62,Venezuela,VE,2021-08-12 19:17:05,8.0,-66.0,87.58,57,83,3.47
63,Tuktoyaktuk,CA,2021-08-12 19:17:06,69.4541,-133.0374,50.0,87,90,6.91
64,Klaksvik,FO,2021-08-12 19:17:06,62.2266,-6.589,54.52,90,100,12.15
65,Lata,PT,2021-08-12 19:17:06,40.1629,-8.3327,70.36,56,0,5.08
66,Khandyga,RU,2021-08-12 19:17:07,62.6667,135.6,56.55,84,14,2.44
67,Mar Del Plata,AR,2021-08-12 19:17:28,-38.0023,-57.5575,50.02,62,0,7.7
68,Sept-Iles,CA,2021-08-12 19:17:28,50.2001,-66.3821,67.24,97,90,4.0
69,Castro,BR,2021-08-12 19:17:29,-24.7911,-50.0119,52.83,92,100,7.43
70,Puerto Leguizamo,CO,2021-08-12 19:17:29,-0.1934,-74.7819,78.87,81,99,2.98
71,Lagoa,PT,2021-08-12 19:17:29,39.05,-27.9833,73.85,78,0,14.23
72,Zorgo,BF,2021-08-12 19:17:30,12.2489,-0.6158,77.47,79,100,3.71
73,Hermanus,ZA,2021-08-12 19:15:03,-34.4187,19.2345,49.89,79,90,10.8
74,Victoria,HK,2021-08-12 19:14:15,22.2855,114.1577,84.25,90,100,1.01
75,Arraial Do Cabo,BR,2021-08-12 19:17:30,-22.9661,-42.0278,71.56,78,90,11.5
76,Mahebourg,MU,2021-08-12 19:17:30,-20.4081,57.7,71.89,83,40,11.5
77,Lorengau,PG,2021-08-12 19:17:31,-2.0226,147.2712,80.62,79,89,6.2
78,Jamestown,US,2021-08-12 19:17:31,42.097,-79.2353,87.12,68,1,8.01
79,Sisimiut,GL,2021-08-12 19:17:31,66.9395,-53.6735,52.03,59,23,5.35
80,Bac Lieu,VN,2021-08-12 19:17:32,9.285,105.7244,81.09,80,100,8.32
81,Turayf,SA,2021-08-12 19:17:32,31.6725,38.6637,84.45,26,0,6.91
82,Yenagoa,NG,2021-08-12 19:17:32,4.9247,6.2642,75.56,86,45,6.13
83,High Level,CA,2021-08-12 19:17:33,58.5169,-117.136,71.71,43,20,9.22
84,Padang,ID,2021-08-12 19:17:33,-0.9492,100.3543,76.48,89,99,4.56
85,Butaritari,KI,2021-08-12 19:17:33,3.0707,172.7902,81.36,76,28,8.12
86,Chuy,UY,2021-08-12 19:17:34,-33.6971,-53.4616,51.75,69,9,7.16
87,Vihti,FI,2021-08-12 19:17:34,60.417,24.3197,62.35,89,10,3.0
